reviewId,content,score
00a6d458-2011-44b2-bfff-debb984727ae,good app,5
1cfe540d-ec13-4421-b6a6-070ddfc4ba84,cant even click a song on it and it forces its users to buy their premium,1
0b9f880a-b042-4c5c-be55-a086343fee77,I love this app,5
2c5297bb-fba1-4ba3-b7d3-3cbeb4a2bc80,i like this,5
4a4ea791-3cd1-495b-951d-2bbf1a71a576,So far finding all my old school jams. pure awesomeness 👏,5
fc530b32-9b81-4421-947e-edd192dcdae8,very bad,1
b8006b73-9d10-4866-a72e-840ea12d7e90,everything was good until they became more money minded.,1
e46e9d21-0155-4416-a593-2b15ce44ab41,Good so far though I haven't subscribed yet so I might not be getting the full package.,4
76650ac5-ab46-488d-9369-9ea672a89a5f,"- New Widget is a massive downgrade, too large with unwanted recommendations. And they're getting rid of the old one. - Magnitudinous clutter and irrelevant content recommendations filling up home page, impairing efficiency and increasing loading time.",1
f9723446-8035-44b8-833d-f7107f070e07,easy to use and very good quality,5
ade6fd2d-f4d2-43a0-934d-e005114c0803,goated,5
396b3e76-2c1a-41ce-88fd-8580df5d91b4,Perfect mwaaaaa,5
e9fc14a0-5de0-4133-8628-ed14565f057a,have always loved Spotify but it pains me deeply when it gets buggy 😮‍💨,4
9ce21b27-63d0-4bb3-8290-f4f8768a7e43,meh ok it's like pretty good nice music recommendations wow but the ads are the problem,5
b8f0663b-fd95-4a84-bf1a-f96cff05b839,GOOD 👍,5
4bce38ab-e3ef-4b03-bd8f-377fbc65064e,SUPER 👍👍👍,5
6dce9359-6855-4f3c-9f1e-f64aa7e89fc8,superbbbb,5
771a17f5-7362-4e08-8272-ccfcc9de5b7f,Spotify is so good I can listen to anything,5
1866ffc0-45c9-4d3c-9e0c-e615977eb887,"It's time to uninstall Spotify, Spotify like it's only for Rich peoples, cause it's demanding too much demands, it's really harassing.",1
1de1aed4-16cc-4d12-99fa-c33c774efbcc,you can only listen to a limit of songs in a day without premium alot of ads and no repeat,2
57d5c2f6-cee9-47fa-9097-304a09c101ea,excellent,5
49ab0e95-7cae-4ccb-9486-70695c8417fd,I love this it is the best ever,5
7ea5db86-c87e-45cc-b265-143accf384d9,enjoyable,5
