reviewId,content,score
6dd687ed-62fd-4793-831d-539a147a1c82,good,5
78263926-a410-4cb0-b930-d815a6e04eaf,good 👏,5
2c8dbf7f-0a47-458e-a5cc-2f80f93f5583,good,1
b4a14ae5-c8fd-4111-b099-88c59ea4cd05,running,5
c12ffc8c-4204-442b-ad8e-fb6d8dab2590,😃😃😃,5
4dcbf4ab-7d05-493d-ba24-ef8506c40aaf,good,5
b7c81cc4-dc9a-4a07-8e04-20eebd7c0bd5,Wow love it,5
f4c8e441-958d-4beb-930d-d29132846639,Great 😊,5
e67e2861-a66d-4d49-9251-2e52ea0c2c97,"Dear WhatsApp Support, I am facing the ‘Download the official WhatsApp to continue’ error. I have always used the official app and did not violate any policies. Please review and restore my account. Thank you.",1
f86ff356-94a7-4185-9311-70f3687ba6c1,This app is more amazing than the messanger it delivers in 1 second to me or another one easier than messanger,5
f69b011a-9acd-448d-bf47-d891b05c4da8,Good V. good fabulous fanstranstic cute beautiful Masterpiece like Excellent,5
46284afe-c7b9-4442-9fcc-25d6a39b03c8,I want my WhatsApp update,5
8182d5bd-866a-447e-a082-8f30b2012ec7,g.o,4
4f44acad-3984-4ce5-92d6-29711eec9eaa,Good,5
f86de19c-ae22-4aaf-94fa-1c52c5a6c78a,Top,5
322123c7-02df-4d07-9c69-f61a7caf09f1,சூப்பர் 👍,3
19ca0e60-1bc3-44c3-8be9-75e086ca2eeb,WhatsApp,5
2e13d861-6706-42bd-b869-451c9f31fbf4,Best,5
4b285578-a11a-4956-9d17-8f2dec71f490,perfect app at all time,5
e1f21803-dc9a-4394-96ff-72c030b50390,How,5
98f6516d-b687-4ffb-91a3-8bc745bafbe1,agood app,5
0e0dee53-9e0b-4a56-bb80-5d064fc44dd1,nice,5
32d44d1b-b172-40e4-9a46-7247ee2f1255,زما واتساف کرنه کوی,5
d8dae661-01b7-403f-9c18-834f131d4f20,Best,5
ffc20aad-1373-4e75-b2d9-2d2c30572794,All is well .,5
899780a2-6756-4965-a3cd-cbb477108b4a,bad,2
c8254f05-917f-4828-a475-f1994cd36d7e,my WhatsApp account is always being banned and I don't understand using the app is not interesting,1
72751bff-7213-41b8-8019-08a68a7a612b,uma,1
7a15e99b-66d7-4c33-b77f-d40c2ffbec20,i have issues on voice call and video calls. you may need to fix it,2
7e8f62c2-a5a5-4a55-bceb-2ba1282428b7,fake application or third party application I think 🤔🤔,1
dda78817-d5db-4ff8-a800-d335dc8a8432,now it's not working properly when u change device,1
